product_id,product_name,category,brand,price,discount_pct,rating,num_ratings,stock_qty
9001,WOW Lipstick Edition,Beauty,WOW,1633.61,40,4.0,11188,158
9002,Nike Watch Pro,Fashion,Nike,964.2,0,1.0,22352,335
9003,Bajaj Vacuum Cleaner Edition,Home & Kitchen,Bajaj,13941.53,15,4.3,6858,40
9004,Cello Water Bottle Max,Home & Kitchen,Cello,6049.75,0,1.6,1175,352
9005,Philips Cookware Set Classic,Home & Kitchen,Philips,7273.16,0,,21441,366
9006,Mamaearth Face Wash Plus,Beauty,Mamaearth,2592.16,30,1.4,17366,141
9007,Roadster Jeans Plus,Fashion,Roadster,4078.42,15,3.9,8276,238
9008,Penguin Textbook 2026,Books,Penguin,527.03,5,2.6,15066,2
9009,Tata Tea Powder Plus,Grocery,Tata,263.27,0,1.2,23698,344
9010,Bajaj Mixer Grinder Classic,Home & Kitchen,Bajaj,9299.03,30,4.1,10468,261
9011,boAt Camera Plus,Electronics,boAt,77186.56,20,2.4,2269,425
9012,Milton Cookware Set Pro,Home & Kitchen,Milton,10384.33,30,1.3,7,140
9013,boAt Power Bank Max,Electronics,boAt,13447.29,50,4.4,13959,324
9014,Roadster Kurta Pro,Fashion,Roadster,4771.96,20,3.8,15489,41
9015,SG Yoga Mat Edition,Sports,SG,3347.44,50,1.3,20600,99
9016,Nivia Yoga Mat Max,Sports,Nivia,1770.76,0,,11713,257
9017,OnePlus Smartwatch Max,Electronics,OnePlus,65069.8,20,2.4,4905,86
9018,HarperCollins Novel Edition,Books,HarperCollins,143.23,40,4.6,8773,335
9019,Nivia Yoga Mat Lite,Sports,Nivia,2217.41,5,1.4,3471,75
9020,WOW Face Wash Pro,Beauty,WOW,1001.88,30,2.5,10848,171
9021,Bajaj Vacuum Cleaner Max,Home & Kitchen,Bajaj,5831.46,50,2.9,12447,315
9022,Fortune Spice Combo Max,Grocery,Fortune,1356.46,40,3.3,822,66
9023,Tata Cooking Oil 1L 2026,Grocery,Tata,895.02,40,1.5,23182,187
9024,LOreal Lipstick Edition,Beauty,LOreal,1622.99,40,1.8,22375,365
9025,Levis Saree Lite,Fashion,Levis,1672.78,40,1.6,1096,45
9026,Sony Headphones 2026,Electronics,Sony,27773.99,20,1.1,24354,115
9027,Samsung Bluetooth Speaker Edition,Electronics,Samsung,60157.57,0,3.4,10668,265
9028,Yonex Dumbbells Edition,Sports,Yonex,9420.15,0,1.1,21997,298
9029,Philips Water Bottle Classic,Home & Kitchen,Philips,9742.31,50,2.0,13759,277
9030,Mamaearth Hair Oil 2026,Beauty,Mamaearth,2003.52,5,4.0,8365,228
9031,Aashirvaad Cooking Oil 1L Max,Grocery,Aashirvaad,879.02,10,3.6,22350,412
9032,Cello Vacuum Cleaner Pro,Home & Kitchen,Cello,5031.18,5,4.3,506,130
9033,Allen Solly Kurta 2026,Fashion,Allen Solly,2848.34,0,2.9,24713,213
9034,Aashirvaad Spice Combo Max,Grocery,Aashirvaad,615.89,0,3.3,1132,39
9035,Nivea Sunscreen Lite,Beauty,Nivea,2726.6,50,3.1,5368,490
9036,Allen Solly Jeans 2026,Fashion,Allen Solly,3517.04,40,3.7,1306,431
9037,Sony Smartphone Pro,Electronics,Sony,9092.12,0,4.7,2515,157
9038,Nivia Dumbbells Classic,Sports,Nivia,4412.28,30,3.4,10876,258
9039,Decathlon Dumbbells Plus,Sports,Decathlon,3074.85,0,2.7,7273,343
9040,Nivia Cricket Bat 2026,Sports,Nivia,1852.57,50,1.5,16601,48
9041,boAt Laptop Plus,Electronics,boAt,72527.4,40,3.8,7834,43
9042,Roadster Jacket Lite,Fashion,Roadster,2877.99,0,1.2,10612,432
9043,Sony Bluetooth Speaker Plus,Electronics,Sony,50432.33,10,2.1,4904,255
9044,Apple Headphones Classic,Electronics,Apple,56612.85,0,2.1,8633,237
9045,Yonex Cricket Bat Pro,Sports,Yonex,7154.06,10,3.4,21727,490
9046,Allen Solly Saree Lite,Fashion,Allen Solly,848.7,20,4.6,20243,71
9047,Decathlon Yoga Mat Max,Sports,Decathlon,6312.64,40,2.7,3443,436
9048,Yonex Dumbbells Pro,Sports,Yonex,4828.38,30,2.4,4834,499
9049,Fortune Atta 10kg 2026,Grocery,Fortune,592.97,20,1.4,7370,438
9050,Nike Jacket Max,Fashion,Nike,624.78,30,5.0,24851,317
9051,Bloomsbury Biography Plus,Books,Bloomsbury,956.32,0,,14963,29
9052,Decathlon Dumbbells Classic,Sports,Decathlon,422.32,10,1.9,20749,443
9053,Tata Tea Powder 2026,Grocery,Tata,626.84,0,2.8,14636,342
9054,Milton Water Bottle Plus,Home & Kitchen,Milton,5145.39,0,4.8,413,410
9055,Prestige Vacuum Cleaner Pro,Home & Kitchen,Prestige,15378.18,40,2.3,5297,372
9056,HarperCollins Biography Lite,Books,HarperCollins,389.49,15,3.0,520,402
9057,Bajaj Curtains Max,Home & Kitchen,Bajaj,5197.64,0,2.6,18914,288
9058,Bajaj Air Fryer 2026,Home & Kitchen,Bajaj,11903.73,15,4.5,14634,169
9059,Yonex Football Lite,Sports,Yonex,770.17,30,,7685,243
9060,boAt Tablet Plus,Electronics,boAt,4485.02,10,,1723,179
9061,Cello Air Fryer Plus,Home & Kitchen,Cello,4867.15,0,,19748,169
9062,WOW Sunscreen Lite,Beauty,WOW,1169.32,0,1.9,24031,54
9063,Aashirvaad Cooking Oil 1L Pro,Grocery,Aashirvaad,948.47,0,3.2,2043,274
9064,Apple Power Bank 2026,Electronics,Apple,62740.58,10,2.0,6626,99
9065,Nike T-Shirt Lite,Fashion,Nike,3090.21,0,4.4,7878,401
9066,Fabindia Jacket Pro,Fashion,Fabindia,1225.95,0,2.7,23270,471
9067,Rupa Textbook Classic,Books,Rupa,531.62,20,1.8,7519,23
9068,Fortune Rice 5kg Edition,Grocery,Fortune,1348.89,30,2.6,10538,0
9069,LOreal Perfume Plus,Beauty,LOreal,1798.3,0,2.3,14587,136
9070,Rupa Textbook 2026,Books,Rupa,220.16,0,1.1,3862,193
9071,Nivia Dumbbells Plus,Sports,Nivia,5454.95,20,1.9,5103,444
9072,Rupa Comic 2026,Books,Rupa,464.96,40,4.7,11854,23
9073,Milton Vacuum Cleaner 2026,Home & Kitchen,Milton,11134.32,0,2.5,23345,483
9074,Rupa Comic 2026,Books,Rupa,527.63,20,4.6,9621,441
9075,Nivea Perfume Pro,Beauty,Nivea,1098.72,30,4.6,14037,217
9076,LOreal Hair Oil Plus,Beauty,LOreal,2374.59,5,3.6,19706,359
9077,Puma Jacket Classic,Fashion,Puma,526.63,40,3.4,11120,235
9078,Cello Bedsheet 2026,Home & Kitchen,Cello,8321.0,0,4.8,24398,201
9079,Milton Water Bottle Edition,Home & Kitchen,Milton,11240.84,40,3.9,9702,233
9080,Aashirvaad Rice 5kg 2026,Grocery,Aashirvaad,693.5,0,2.2,5977,159
9081,Prestige Cookware Set Max,Home & Kitchen,Prestige,7898.96,10,1.7,7288,84
9082,WOW Lipstick Lite,Beauty,WOW,2140.75,0,1.1,9735,185
9083,Fortune Rice 5kg Edition,Grocery,Fortune,745.13,0,1.4,8698,262
9084,HarperCollins Biography Classic,Books,HarperCollins,910.42,0,1.4,13075,123
9085,Philips Mixer Grinder Classic,Home & Kitchen,Philips,13791.68,40,3.9,2129,371
9086,Tata Spice Combo Edition,Grocery,Tata,823.62,15,4.6,21203,55
9087,Roadster Jeans Plus,Fashion,Roadster,3613.75,5,3.8,16597,500
9088,Nivia Football Classic,Sports,Nivia,8393.7,30,2.3,22714,415
9089,Apple Laptop 2026,Electronics,Apple,31575.76,15,1.2,9833,399
9090,OnePlus Smartwatch 2026,Electronics,OnePlus,2811.87,0,2.1,8647,361
9091,Puma Sneakers 2026,Fashion,Puma,916.83,20,4.9,971,111
9092,Fortune Atta 10kg Max,Grocery,Fortune,838.1,5,2.6,6390,358
9093,Penguin Novel Max,Books,Penguin,990.49,50,,18563,121
9094,Levis T-Shirt 2026,Fashion,Levis,2263.43,15,2.3,1899,23
9095,Nike T-Shirt Classic,Fashion,Nike,342.82,5,4.6,8236,68
9096,SG Football Plus,Sports,SG,8260.41,0,1.9,7201,477
9097,Fortune Atta 10kg 2026,Grocery,Fortune,268.94,10,1.4,2263,220
9098,Levis Jacket Plus,Fashion,Levis,2234.2,50,4.2,23036,340
9099,OnePlus Bluetooth Speaker 2026,Electronics,OnePlus,36792.76,5,1.0,3398,264
9100,Decathlon Yoga Mat Pro,Sports,Decathlon,6667.62,5,2.1,12592,240
9101,Samsung Smartphone Classic,Electronics,Samsung,49932.33,5,3.9,24055,306
9102,Penguin Comic Classic,Books,Penguin,380.78,0,3.2,18465,404
9103,Nike Sunglasses Edition,Fashion,Nike,1136.32,20,3.2,20073,174
9104,Milton Vacuum Cleaner Classic,Home & Kitchen,Milton,14966.22,15,1.4,15777,311
9105,Levis Sunglasses Edition,Fashion,Levis,4553.84,0,3.8,19315,449
9106,LOreal Lipstick 2026,Beauty,LOreal,2851.68,10,4.2,2540,303
9107,Roadster Watch Max,Fashion,Roadster,326.8,30,1.6,20410,302
9108,Allen Solly Watch 2026,Fashion,Allen Solly,443.92,0,1.6,13102,138
9109,Rupa Comic Edition,Books,Rupa,790.53,40,4.2,15062,434
9110,WOW Sunscreen Lite,Beauty,WOW,1201.87,0,2.5,10767,192
9111,Roadster Jeans 2026,Fashion,Roadster,3512.06,0,4.7,14556,98
9112,Philips Vacuum Cleaner 2026,Home & Kitchen,Philips,542.68,10,3.5,9103,294
9113,Cello Mixer Grinder Plus,Home & Kitchen,Cello,2835.85,0,3.7,6517,115
9114,Cello Cookware Set Lite,Home & Kitchen,Cello,4560.65,20,1.4,17003,471
9115,India Gate Tea Powder Classic,Grocery,India Gate,86.51,5,1.0,13175,311
9116,Prestige Air Fryer Plus,Home & Kitchen,Prestige,7043.72,30,1.7,20779,300
9117,Fabindia Kurta Edition,Fashion,Fabindia,4027.48,0,3.2,23974,67
9118,Nivia Dumbbells Classic,Sports,Nivia,7841.88,0,4.6,23018,332
9119,HarperCollins Textbook Pro,Books,HarperCollins,389.1,5,2.4,8122,55
9120,Lakme Sunscreen Classic,Beauty,Lakme,679.28,20,2.4,23329,307
9121,Tata Cooking Oil 1L Classic,Grocery,Tata,549.4,0,4.8,22974,153
9122,OnePlus Camera Plus,Electronics,OnePlus,41445.13,50,3.5,2798,324
9123,Bajaj Air Fryer Plus,Home & Kitchen,Bajaj,14767.09,40,2.9,6071,89
9124,Decathlon Cricket Bat 2026,Sports,Decathlon,1314.25,30,1.4,11302,70
9125,WOW Face Wash 2026,Beauty,WOW,927.43,5,,12694,154
9126,boAt Camera Pro,Electronics,boAt,84976.87,0,2.8,11028,437
9127,Rupa Novel Edition,Books,Rupa,971.3,0,,20384,438
9128,Yonex Running Shoes Lite,Sports,Yonex,316.99,5,1.1,17505,187
9129,Milton Air Fryer Lite,Home & Kitchen,Milton,6982.17,15,2.1,10508,175
9130,Allen Solly Sunglasses Pro,Fashion,Allen Solly,4412.09,5,,16767,255
9131,Nike Saree Classic,Fashion,Nike,3731.24,10,2.7,11350,188
9132,Allen Solly Sunglasses Plus,Fashion,Allen Solly,4245.95,15,1.9,13523,181
9133,Lakme Hair Oil Pro,Beauty,Lakme,2991.41,20,2.9,20233,293
9134,Levis Jeans Lite,Fashion,Levis,4251.27,5,2.4,22407,93
9135,Mamaearth Sunscreen Pro,Beauty,Mamaearth,2109.2,50,4.1,18059,345
9136,Penguin Self-Help Book Max,Books,Penguin,308.35,30,4.4,17400,478
9137,Levis Kurta Pro,Fashion,Levis,443.13,20,3.1,770,415
9138,Lakme Perfume Lite,Beauty,Lakme,228.8,0,2.5,4233,243
9139,Mamaearth Perfume 2026,Beauty,Mamaearth,1031.16,15,1.7,13050,200
9140,SG Cricket Bat Max,Sports,SG,7343.14,10,4.1,4141,448
