review_id,customer_id,product_id,rating,review_text,review_date,verified_purchase
300001,5309,9382,4,,2026-05-08,True
300002,6507,9245,1,,2024-08-07,False
300003,7768,9568,1,"Poor quality, disappointed.",2026-02-14,True
300004,5685,9280,2,Not worth the price.,2022-06-20,True
300005,6557,9252,3,"Product is okay, nothing special.",2025-09-10,True
300006,7906,9125,2,Stopped working after a week.,2024-09-04,True
300007,7289,9493,1,Item arrived damaged.,2023-03-03,True
300008,7851,9548,5,Excellent quality and fast delivery.,2024-07-07,False
300009,5101,9523,5,Excellent quality and fast delivery.,2024-12-30,True
300010,7548,9568,2,Item arrived damaged.,2024-06-26,True
300011,5270,9115,5,"Exactly as described, very happy.",2022-12-06,True
300012,7881,9373,4,"Exactly as described, very happy.",2025-07-15,True
300013,6021,9177,3,"Product is okay, nothing special.",2025-02-07,True
300014,5598,9302,3,Decent but delivery was late.,2024-12-15,True
300015,7933,9095,5,Superb value for money.,2023-10-26,True
300016,7792,9171,2,Stopped working after a week.,2023-08-21,False
300017,6634,9108,1,Stopped working after a week.,2022-02-14,True
300018,7370,9587,2,Not worth the price.,2023-02-17,False
300019,5633,9537,3,"Average quality, expected more.",2022-01-26,True
300020,5719,9390,4,"Loved it, will buy again.",2024-03-01,True
300021,5902,9201,3,Decent but delivery was late.,2022-11-07,True
300022,6323,9567,5,"Exactly as described, very happy.",2025-02-13,False
300023,7021,9130,5,"Exactly as described, very happy.",2026-01-12,True
300024,7357,9063,2,"Poor quality, disappointed.",2024-01-27,True
300025,6186,9117,5,"Loved it, will buy again.",2022-03-05,False
300026,6294,9422,3,"Product is okay, nothing special.",2024-07-07,True
300027,5417,9339,1,"Poor quality, disappointed.",2022-04-18,True
300028,7877,9495,3,"Product is okay, nothing special.",2026-03-30,True
300029,6226,9577,4,"Loved it, will buy again.",2025-09-20,True
300030,7407,9055,1,Item arrived damaged.,2023-03-08,False
300031,6125,9289,4,Excellent quality and fast delivery.,2024-12-23,True
300032,7018,9426,5,"Exactly as described, very happy.",2025-11-14,True
300033,5254,9506,4,"Loved it, will buy again.",2023-08-18,True
300034,6381,9279,3,"Product is okay, nothing special.",2024-12-07,False
300035,6830,9010,3,Decent but delivery was late.,2022-12-24,True
300036,7506,9572,4,Superb value for money.,2023-03-11,False
300037,7987,9309,1,,2023-11-04,True
300038,7823,9331,3,"Product is okay, nothing special.",2024-10-09,True
300039,5599,9452,3,Decent but delivery was late.,2022-12-08,True
300040,5510,9324,3,Decent but delivery was late.,2024-09-24,True
300041,6266,9075,1,Not worth the price.,2025-11-08,True
300042,6968,9068,3,"Average quality, expected more.",2022-10-13,False
300043,7693,9265,2,Stopped working after a week.,2023-01-29,True
300044,7665,9413,2,"Poor quality, disappointed.",2023-11-28,True
300045,6699,9468,3,Decent but delivery was late.,2023-12-12,True
300046,5270,9419,3,"Product is okay, nothing special.",2025-03-04,False
300047,7391,9121,3,"Average quality, expected more.",2026-01-25,True
300048,7088,9155,5,Superb value for money.,2023-09-03,True
300049,7653,9092,1,"Poor quality, disappointed.",2025-11-08,False
300050,7411,9210,2,"Poor quality, disappointed.",2024-08-10,True
300051,5068,9151,1,"Poor quality, disappointed.",2022-03-10,True
300052,7014,9171,2,"Poor quality, disappointed.",2023-10-13,True
300053,6210,9540,1,Item arrived damaged.,2023-05-28,True
300054,7193,9119,4,"Exactly as described, very happy.",2024-02-24,False
300055,7904,9597,1,Stopped working after a week.,2022-12-25,True
300056,5798,9592,3,Decent but delivery was late.,2026-04-02,True
300057,7386,9161,3,,2023-12-28,True
300058,5059,9522,4,"Exactly as described, very happy.",2023-07-16,True
300059,5270,9022,1,,2022-06-17,False
300060,6777,9424,2,Stopped working after a week.,2024-01-14,True
300061,6036,9480,2,Not worth the price.,2023-09-09,False
300062,7809,9501,5,"Exactly as described, very happy.",2022-02-21,False
300063,5276,9060,4,"Loved it, will buy again.",2022-09-12,False
300064,6208,9222,1,Not worth the price.,2023-01-08,True
300065,7524,9336,3,"Average quality, expected more.",2024-06-19,True
300066,5213,9205,1,,2022-10-12,True
300067,6615,9435,3,"Product is okay, nothing special.",2022-05-25,True
300068,6539,9354,3,"Product is okay, nothing special.",2025-01-31,True
300069,6437,9041,5,,2022-11-25,True
300070,6395,9198,4,Excellent quality and fast delivery.,2024-07-03,True
300071,5679,9067,5,Superb value for money.,2026-04-14,True
300072,7657,9416,1,"Poor quality, disappointed.",2022-11-23,True
300073,6145,9430,3,"Product is okay, nothing special.",2026-01-26,True
300074,7241,9093,5,"Great product, worth the money!",2026-07-12,False
